Step	S	H	E	I	C	R	New local infections	New movement infections	New infectious	numOfConfirmedSusceptible	numOfConfirmedRestricted	numOfConfirmedExposed	numOfConfirmedInfected	examinedS	examinedH	examinedE	examinedI	localForceOfInfection	forceOfInfection	R0 (forceOfInfection / infectiousSize)	crudeR0	numOfLocallyInfected	numOfLocallyInfected	newCulled	infToCull (sum of examinedI)	numOfDetectedRandomly	
0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000000	0.000000	NaN	NaN	0	0	0	0	0	
1	3	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0.000000	0.096079	0.096079	1.000000	0	1	0	0	0	
2	3	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000000	0.000000	0.000000	0.000000	0	1	0	0	0	
3	3	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000000	0.000000	0.000000	0.000000	0	1	0	0	0	
4	3	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000000	0.000000	0.000000	0.000000	0	1	0	0	1	
5	3	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0.000000	0.000000	0.000000	0.000000	0	1	0	1	1	
6	3	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0.000000	0.000000	NaN	NaN	0	1	1	1	1	
7	3	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0.000000	0.000000	NaN	NaN	0	1	0	1	2	
8	3	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0.000000	0.000000	NaN	NaN	0	1	0	1	2	
9	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0.000000	0.000000	NaN	NaN	0	1	1	1	2	
